Yr,Mon_reg,No_of_marri
2005,9,3598
2005,10,3608
2005,11,4544
2005,12,4547
2005,Total,43018
2006,1,3372
2006,2,3319
2006,3,4537
2006,4,3095
2006,5,3785
2006,6,4114
2006,7,3360
2006,8,3009
2006,9,3757
2006,10,5831
2006,11,5319
2006,12,6830
2006,Total,50328
2007,1,5247
2007,2,3399
2007,3,3993
2007,4,2994
2007,5,3451
2007,6,3365
2007,7,3113
2007,8,2609
2007,9,3885
2007,10,4111
2007,11,5396
2007,12,5890
2007,Total,47453
2008,1,5083
2008,2,2712
2008,3,4163
2008,4,2972
2008,5,3889
2008,6,3198
2008,7,2784
2008,8,2674
2008,9,4407
2008,10,3812
2008,11,5638
2008,12,5999
2008,Total,47331
2009,1,3688
2009,2,3617
2009,3,5022
2009,4,2957
2009,5,4026
2009,6,3544
2009,7,3212
2009,8,3125
2009,9,4296
2009,10,5364
2009,11,5485
2009,12,6839
2009,Total,51175
2010,1,6309
2010,2,3148
2010,3,4522
2010,4,3182
2010,5,4246
2010,6,3720
2010,7,3214
2010,8,2642
2010,9,4666
2010,10,5095
2010,11,5809
2010,12,6005
2010,Total,52558
2011,1,5224
2011,2,3189
2011,3,5420
2011,4,3320
2011,5,4909
2011,6,4284
2011,7,3410
2011,8,3272
2011,9,5300
2011,10,5464
2011,11,7656
2011,12,6921
2011,Total,58369
2012,1,4175
2012,2,4565
2012,3,6080
2012,4,3420
2012,5,5110
2012,6,4257
2012,7,3666
2012,8,3445
2012,9,5077
2012,10,5430
2012,11,7184
2012,12,8050
2012,Total,60459
2013,1,7117
2013,2,2962
2013,3,5212
2013,4,3131
2013,5,4689
2013,6,3920
2013,7,3037
2013,8,2750
2013,9,5366
2013,10,4558
2013,11,6257
2013,12,6275
2013,Total,55274
2014,1,4493
2014,2,3607
2014,3,5700
2014,4,2965
2014,5,4961
2014,6,4090
2014,7,3168
2014,8,3463
2014,9,5456
2014,10,4906
2014,11,6910
2014,12,6735
2014,Total,56454
2015,1,5625
2015,2,3272
2015,3,4526
2015,4,2813
2015,5,4379
2015,6,3708
2015,7,3044
2015,8,2840
2015,9,4121
2015,10,5061
2015,11,6124
2015,12,6096
2015,Total,51609
2016,1,5224
2016,2,2956
2016,3,4521
2016,4,2840
2016,5,4388
2016,6,3720
2016,7,2937
2016,8,2542
2016,9,4893
2016,10,4468
2016,11,5557
2016,12,5962
2016,Total,50008
2017,1,3774
2017,2,3835
2017,3,4885
2017,4,2846
2017,5,4714
2017,6,3906
2017,7,2810
2017,8,3016
2017,9,3758
2017,10,4877
2017,11,5964
2017,12,7432
2017,Total,51817
2018,1,4867
2018,2,3180
2018,3,4338
2018,4,2926
2018,5,3933
2018,6,3762
2018,7,2649
2018,8,2935
2018,9,4361
2018,10,4739
2018,11,5139
2018,12,6502
2018,Total,49331
2019,1,4529
2019,2,2827
2019,3,4586
2019,4,2591
2019,5,4055
2019,6,3859
2019,7,2492
2019,8,2194
2019,9,3958
2019,10,3592
2019,11,5232
2019,12,4332
2019,Total,44247
2020,1,2622
2020,2,2720
2020,3,2252
2020,4,1049
2020,5,1920
2020,6,1647
2020,7,1418
2020,8,1458
2020,9,1649
2020,10,3449
2020,11,3212
2020,12,4467
2020,Total,27863
2021,1,2497
2021,2,1541
2021,3,2311
2021,4,1336
2021,5,2442
2021,6,2107
2021,7,1446
2021,8,1029
2021,9,2703
2021,10,2295
2021,11,3373
2021,12,3819
2021,Total,26899
