Yr,Age_brides,Age_bgrooms,Per_first_marri
2016,25 – 29,40+,1.3
2016,25 – 29,Total,42.8
2016,30 – 34,16 – 19,§
2016,30 – 34,20 – 24,0.2
2016,30 – 34,25 – 29,3.7
2016,30 – 34,30 – 34,16.6
2016,30 – 34,35 – 39,6.3
2016,30 – 34,40+,2.3
2016,30 – 34,Total,29.2
2016,35 – 39,16 – 19,§
2016,35 – 39,20 – 24,§
2016,35 – 39,25 – 29,0.4
2016,35 – 39,30 – 34,1.8
2016,35 – 39,35 – 39,3.4
2016,35 – 39,40+,2.4
2016,35 – 39,Total,8
2016,40+,16 – 19,§
2016,40+,20 – 24,§
2016,40+,25 – 29,0.1
2016,40+,30 – 34,0.3
2016,40+,35 – 39,0.5
2016,40+,40+,2.5
2016,40+,Total,3.4
2016,Total,16 – 19,0.4
2016,Total,20 – 24,8.6
2016,Total,25 – 29,32.4
2016,Total,30 – 34,35.4
2016,Total,35 – 39,14.4
2016,Total,40+,8.8
2016,Total,Total,100
2021,16 – 19,16 – 19,0.1
2021,16 – 19,20 – 24,0.2
2021,16 – 19,25 – 29,0.1
2021,16 – 19,30 – 34,§
2021,16 – 19,35 – 39,§
2021,16 – 19,40+,§
2021,16 – 19,Total,0.3
2021,20 – 24,16 – 19,0.1
2021,20 – 24,20 – 24,2.2
2021,20 – 24,25 – 29,3
2021,20 – 24,30 – 34,0.9
2021,20 – 24,35 – 39,0.3
2021,20 – 24,40+,§
2021,20 – 24,Total,6.4
2021,25 – 29,16 – 19,§
2021,25 – 29,20 – 24,1.1
2021,25 – 29,25 – 29,20.1
2021,25 – 29,30 – 34,14.7
2021,25 – 29,35 – 39,3
2021,25 – 29,40+,0.7
2021,25 – 29,Total,39.7
2021,30 – 34,16 – 19,§
2021,30 – 34,20 – 24,0.2
2021,30 – 34,25 – 29,4.7
2021,30 – 34,30 – 34,22.2
2021,30 – 34,35 – 39,8.7
2021,30 – 34,40+,2.1
2021,30 – 34,Total,37.8
2021,35 – 39,16 – 19,§
2021,35 – 39,20 – 24,§
2021,35 – 39,25 – 29,0.4
2021,35 – 39,30 – 34,2.3
2021,35 – 39,35 – 39,5.2
2021,35 – 39,40+,2.9
2021,35 – 39,Total,10.8
2021,40+,16 – 19,§
2021,40+,20 – 24,§
2021,40+,25 – 29,0.1
